000000,21:36,O,1,160
000001,20:06,O,1,43
000002,23:18,I,2,170
000003,08:52,T,145,120
000004,18:02,T,172,39
000005,23:57,O,2,113
000006,15:55,T,186,23
000007,15:42,O,1,192
000008,06:45,O,2,200
000009,13:41,O,1,34
000010,04:16,O,2,101
000011,00:31,O,1,13
000012,04:25,T,95,160
000013,06:00,T,143,169
000014,10:43,I,2,199
000015,09:34,O,2,161
000016,21:24,O,2,53
000017,01:50,O,1,186
000018,03:54,O,2,13
000019,04:41,O,2,60
000020,11:09,I,2,79
000021,22:25,T,50,63
000022,02:46,O,1,105
000023,10:21,T,2,67
000024,19:46,O,2,69
000025,22:46,O,2,124
000026,17:52,O,2,41
000027,16:10,T,1,84
000028,19:04,I,1,132
000029,10:52,I,2,20
000030,15:33,T,97,30
000031,06:43,I,2,31
000032,18:48,T,102,115
000033,02:25,T,152,117
000034,13:14,T,56,68
000035,13:56,T,160,151
000036,07:25,T,153,90
000037,23:51,I,2,49
000038,02:48,O,2,18
000039,09:31,T,23,137
000040,19:16,I,1,27
000041,01:48,O,1,182
000042,21:25,T,176,19
000043,15:41,I,2,130
000044,19:16,O,2,104
000045,04:37,I,1,152
000046,10:07,O,1,181
000047,08:02,O,1,160
000048,00:11,O,2,39
000049,16:08,I,2,116
